model,attack,base,class_pair,seed,budget,num_poisons,epsilon,target_idx,target_score,victim_id,success,clean_test_acc,clean_asr,craft_obj,realized_linf
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,0,0,0.8383,0.0,0.19294258952140808,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,1,1,0.8331,0.0,0.19294258952140808,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,2,1,0.8325,0.0,0.19294258952140808,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,833,0.009326840750873089,3,1,0.8384,0.0,0.19294258952140808,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,0,1,0.8353,0.0,0.20379801094532013,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,1,0,0.8487,0.0,0.20379801094532013,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,2,0,0.8336,0.0,0.20379801094532013,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,2065,0.0032452077139168978,3,0,0.846,0.0,0.20379801094532013,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,0,0,0.832,0.0,0.18282745778560638,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,1,0,0.8355,0.0,0.18282745778560638,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,2,1,0.8319,0.0,0.18282745778560638,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,4630,0.0005609014770016074,3,0,0.8399,0.0,0.18282745778560638,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,0,0,0.8421,0.0,0.20802967250347137,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,1,0,0.8467,0.0,0.20802967250347137,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,2,1,0.8336,0.0,0.20802967250347137,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5118,0.0001596788060851395,3,1,0.8357,0.0,0.20802967250347137,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,0,0,0.8371,0.0,0.2235656976699829,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,1,1,0.8367,0.0,0.2235656976699829,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,2,0,0.8338,0.0,0.2235656976699829,0.031372517347335815
ResNet20BN,sapa,random,dog-bird,42,0.005,250,0.0313725,5324,0.0010572058381512761,3,0,0.8354,0.0,0.2235656976699829,0.031372517347335815
